game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_04_BAL_KC,2025,4,REG,2025-09-28,KC,BAL,0,BAL -2.5,BAL -2.9,-2.5,-2.857184559106827,-0.3571845591068268,False,124.0,-148.0,0.42794036443953615,0.34563559761790347,-0.08230476682163268,0.0,48.5,37.0,20.0,17.0,home,1,89.0,10.0,7,6
2025_04_IND_LA,2025,4,REG,2025-09-28,LA,IND,0,LA -3.5,LA -3.3,3.5,3.2909480333328247,-0.2090519666671753,False,-185.0,154.0,0.6224665518611737,0.6272032898200498,0.0047367379588760805,1.0,49.5,27.0,20.0,7.0,home,0,70.0,0.0,7,7
2025_04_CHI_LV,2025,4,REG,2025-09-28,LV,CHI,0,LV -1.5,LV -0.9,1.5,0.8793336153030396,-0.6206663846969604,True,-125.0,105.0,0.5324675324675325,0.5164459315952072,-0.016021600872325292,1.0,47.5,24.0,25.0,-1.0,away,0,70.0,0.0,7,7
2025_04_CAR_NE,2025,4,REG,2025-09-28,NE,CAR,0,NE -5.5,NE -5.4,5.5,5.420525826513767,-0.07947417348623276,False,-265.0,215.0,0.6957699520733487,0.7153521581191923,0.019582206045843598,1.0,42.5,42.0,13.0,29.0,home,1,76.0,7.0,7,7
2025_04_LAC_NYG,2025,4,REG,2025-09-28,NYG,LAC,0,LAC -6.0,LAC -5.4,-6.0,-5.353833556175232,0.6461664438247681,True,230.0,-285.0,0.2904564315352697,0.24810721977121838,-0.04234921176405129,0.0,43.5,21.0,18.0,3.0,home,1,81.0,4.0,7,7
2025_04_MIN_PIT,2025,4,REG,2025-09-28,PIT,MIN,0,MIN -2.5,MIN -0.6,-2.5,-0.575869083404541,1.924130916595459,True,124.0,-148.0,0.42794036443953615,0.44808722542560214,0.020146860986065995,1.0,41.5,24.0,21.0,3.0,home,1,61.0,5.0,7,7
2025_04_JAX_SF,2025,4,REG,2025-09-28,SF,JAX,0,SF -3.5,SF -3.0,3.5,3.036078155040741,-0.46392184495925903,True,-180.0,150.0,0.6164383561643836,0.6159070130251595,-0.0005313431392240942,1.0,45.5,21.0,26.0,-5.0,away,1,72.0,7.0,7,7
2025_04_PHI_TB,2025,4,REG,2025-09-28,TB,PHI,0,PHI -3.5,PHI -3.5,-3.5,-3.5285290628671646,-0.028529062867164612,True,154.0,-185.0,0.3775334481388264,0.317608632144379,-0.05992481599444738,1.0,44.5,25.0,31.0,-6.0,away,1,88.0,6.0,7,7
2025_04_CIN_DEN,2025,4,REG,2025-09-29,DEN,CIN,0,DEN -7.5,DEN -8.3,7.5,8.340762615203857,0.8407626152038574,True,-470.0,360.0,0.7913616398243045,0.8133298940964693,0.021968254272164756,1.0,44.5,28.0,3.0,25.0,home,1,66.0,12.0,8,8
2025_04_NYJ_MIA,2025,4,REG,2025-09-29,MIA,NYJ,1,MIA -2.5,MIA -0.6,2.5,0.5873032808303833,-1.9126967191696167,False,-148.0,124.0,0.5720596355604638,0.5026947340062784,-0.0693649015541854,0.0,44.5,27.0,21.0,6.0,home,1,88.0,17.0,11,8
2025_05_SF_LA,2025,5,REG,2025-10-02,LA,SF,1,LA -8.5,LA -7.6,8.5,7.583928346633911,-0.9160716533660889,True,-440.0,340.0,0.7819063004846527,0.7907050679853377,0.008798767500684979,0.0,43.5,23.0,26.0,-3.0,away,0,70.0,0.0,4,4
2025_05_TEN_ARI,2025,5,REG,2025-10-05,ARI,TEN,0,ARI -7.5,ARI -6.8,7.5,6.82786637544632,-0.6721336245536804,True,-425.0,330.0,0.7768331562167907,0.7661526522013584,-0.010680504015432302,1.0,41.5,21.0,22.0,-1.0,away,0,70.0,0.0,10,7
2025_05_HOU_BAL,2025,5,REG,2025-10-05,BAL,HOU,0,HOU -2.5,HOU -2.2,-2.5,-2.2406249940395355,0.2593750059604645,False,124.0,-148.0,0.42794036443953615,0.37236163995394955,-0.055578724485586595,1.0,41.5,10.0,44.0,-34.0,away,1,78.0,2.0,7,7
2025_05_NE_BUF,2025,5,REG,2025-10-05,BUF,NE,1,BUF -7.5,BUF -7.4,7.5,7.3889133632183075,-0.1110866367816925,True,-395.0,310.0,0.7659021045164341,0.7845587458869147,0.01865664137048051,0.0,49.5,20.0,23.0,-3.0,away,1,66.0,3.0,7,7
2025_05_MIA_CAR,2025,5,REG,2025-10-05,CAR,MIA,0,MIA -1.5,MIA -2.1,-1.5,-2.143745183944702,-0.6437451839447021,False,100.0,-120.0,0.4782608695652174,0.37663793680579144,-0.10162293275942597,0.0,44.5,27.0,24.0,3.0,home,1,77.0,8.0,7,6
2025_05_DET_CIN,2025,5,REG,2025-10-05,CIN,DET,0,DET -10.5,DET -10.9,-10.5,-10.919945657253265,-0.4199456572532654,True,425.0,-575.0,0.18274111675126903,0.10362528766906781,-0.07911582908220122,1.0,49.5,24.0,37.0,-13.0,away,1,84.0,7.0,6,7
2025_05_MIN_CLE,2025,5,REG,2025-10-05,CLE,MIN,0,MIN -3.5,CLE -0.8,-3.5,0.7545018196105957,4.254501819610596,False,164.0,-198.0,0.3630958183058778,0.5105696548412433,0.1474738365353655,0.0,35.5,17.0,21.0,-4.0,away,1,61.0,14.0,7,7
